Period_Start,BODY,FACE,SPA PACKAGE,THE BELLE SIGNATURE,THE WELLBEING EDIT(ADD ON),기타,프로모션,WELLBEING
2025-08-15,484000,1182400,1518000,26182775,108000,263500,9462600,0
2025-09-01,3019500,4647800,2904000,50965900,1682950,1566325,15090600,511000
2025-10-01,737000,8332750,6699000,68271275,2604800,1285500,1810200,1525900
2025-11-01,1507000,9608100,6567000,74582725,2772800,527000,1272600,1874700
2025-12-01,1430000,10392500,8129000,69840750,2552950,527000,268800,992900
2026-01-01,1228700,4374250,5225000,71124550,3462600,605000,0,2521400
2026-02-01,1317800,3477950,3751000,62973000,7642250,0,0,1454400
2026-03-01,1155000,8542100,6479000,74843000,3190450,990000,0,495000
2026-04-01,2437700,17619150,5896000,76336175,4153050,990000,0,2420800
